name,rate,year,code
Hamilton,57.42359472,2015,19079
Hardin,22.81282081,2015,19083
Harrison,73.68703108,2015,19085
Henry,74.46016381,2015,19087
Howard,62.72214092,2015,19089
Humboldt,30.56546103,2015,19091
Ida,112.8508958,2015,19093
Jasper,67.85733674,2015,19099
Jefferson,35.62310752,2015,19101
Johnson,42.78663223,2015,19103
Keokuk,85.62458377,2015,19107
Kossuth,57.90387956,2015,19109
Linn,10.88881104,2015,19113
Louisa,105.3833319,2015,19115
Lucas,33.71544167,2015,19117
Lyon,155.4269925,2015,19119
Madison,38.26774667,2015,19121
Marion,153.1117716,2015,19125
Mills,159.3731323,2015,19129
Monroe,87.8293601,2015,19135
Muscatine,53.80746286,2015,19139
O'Brien,104.1811363,2015,19141
Osceola,77.37542556,2015,19143
Page,56.49008285,2015,19145
Palo Alto,148.6041821,2015,19147
Plymouth,56.03137757,2015,19149
Pocahontas,68.3994528,2015,19151
Pottawattamie,75.14115803,2015,19155
Poweshiek,58.15797822,2015,19157
Ringgold,58.46813487,2015,19159
Sac,19.3236715,2015,19161
Scott,34.49862006,2015,19163
Sioux,5.934013767,2015,19167
Story,21.21909272,2015,19169
Tama,180.1091912,2015,19171
Taylor,79.15149596,2015,19173
Union,47.86979416,2015,19175
Warren,101.6765819,2015,19181
Washington,179.6903797,2015,19183
Wayne,187.4121506,2015,19185
Webster,47.35222161,2015,19187
Winneshiek,23.74620061,2015,19191
Woodbury,23.48980151,2015,19193
Worth,26.3227165,2015,19195
Wright,30.23660141,2015,19197
Adair,130.1744337,2016,19001
Adams,0,2016,19003
Allamakee,27.91346825,2016,19005
Appanoose,77.59757896,2016,19007
Audubon,32.68507926,2016,19009
Black Hawk,22.12220612,2016,19013
Boone,49.41838364,2016,19015
Bremer,45.31224254,2016,19017
Buchanan,38.17158126,2016,19019
Buena Vista,39.48667325,2016,19021
Butler,13.45261317,2016,19023
Calhoun,51.70630817,2016,19025
Carroll,9.607993851,2016,19027
Cass,121.8114073,2016,19029
Cedar,32.43418563,2016,19031
Cerro Gordo,2.264954361,2016,19033
Cherokee,16.56726309,2016,19035
Chickasaw,88.43154594,2016,19037
Clarke,86.15119535,2016,19039
Clay,71.99856003,2016,19041
Clayton,38.61216835,2016,19043
Clinton,24.431957,2016,19045
Crawford,5.849321479,2016,19047
Dallas,65.01852272,2016,19049
Delaware,101.3285296,2016,19055
Dickinson,71.99856003,2016,19059
Dubuque,21.35542908,2016,19061
Emmet,165.0165017,2016,19063
Fayette,57.47126437,2016,19065
Floyd,36.80304238,2016,19067
Fremont,362.854455,2016,19071
Grundy,72.27174175,2016,19075
Guthrie,0,2016,19077
Hancock,167.5337272,2016,19081
Hardin,57.03205201,2016,19083
Harrison,26.79528403,2016,19085
Henry,94.3162075,2016,19087
Howard,20.90738031,2016,19089
Humboldt,0,2016,19091
Ida,155.1699817,2016,19093
Iowa,48.91470498,2016,19095
Jackson,10.07658202,2016,19097
Jasper,65.14304327,2016,19099
Jefferson,17.81155376,2016,19101
Johnson,69.52827738,2016,19103
Keokuk,85.62458377,2016,19107
Kossuth,38.60258637,2016,19109
Lee,78.07707323,2016,19111
Linn,10.88881104,2016,19113
Louisa,201.9847194,2016,19115
Lucas,67.43088334,2016,19117
Lyon,120.8876608,2016,19119
Madison,25.51183111,2016,19121
Mahaska,49.1488316,2016,19123
Marshall,83.64495178,2016,19127
Mills,119.5298493,2016,19129
Mitchell,0,2016,19131
Monroe,37.64115433,2016,19135
Muscatine,56.14691777,2016,19139
O'Brien,90.2903181,2016,19141
Osceola,108.3255958,2016,19143
Page,31.38337936,2016,19145
Palo Alto,137.9895977,2016,19147
Plymouth,32.01793004,2016,19149
Pocahontas,123.119015,2016,19151
Polk,21.1313394,2016,19153
Pottawattamie,69.77393246,2016,19155
Ringgold,38.97875658,2016,19159
Sac,28.98550725,2016,19161
Scott,35.103859,2016,19163
Sioux,20.76904818,2016,19167
Story,17.86870966,2016,19169
Tama,168.8523667,2016,19171
Taylor,47.49089758,2016,19173
Union,55.84809319,2016,19175
Van Buren,92.47027741,2016,19177
Wapello,50.52631579,2016,19179
Warren,90.85992428,2016,19181
Washington,156.6531515,2016,19183
Wayne,78.08839606,2016,19185
Webster,49.98290059,2016,19187
Winneshiek,23.74620061,2016,19191
Woodbury,24.46854324,2016,19193
Worth,39.48407476,2016,19195
Wright,30.23660141,2016,19197
Adair,52.0697735,2017,19001
Appanoose,131.9158842,2017,19007
Audubon,49.02761889,2017,19009
Benton,92.03865624,2017,19011
Black Hawk,19.83370204,2017,19013
Boone,76.02828252,2017,19015
Buchanan,23.85723829,2017,19019
Buena Vista,54.29417572,2017,19021
Butler,13.45261317,2017,19023
Calhoun,72.38883144,2017,19025
Carroll,14.41199078,2017,19027
Cass,114.6460304,2017,19029
Cedar,37.83988324,2017,19031
Cerro Gordo,24.91449797,2017,19033
Cherokee,33.13452618,2017,19035
Chickasaw,88.43154594,2017,19037
Clarke,43.07559767,2017,19039
Clay,53.99892002,2017,19041
Clayton,49.64421645,2017,19043
Clinton,77.36786383,2017,19045
Crawford,23.39728591,2017,19047
Dallas,51.40999471,2017,19049
Davis,22.84930881,2017,19051
Decatur,82.77166844,2017,19053
Delaware,78.81107859,2017,19055
Des Moines,17.35895846,2017,19057
Dickinson,59.99880002,2017,19059
Dubuque,17.08434327,2017,19061
Emmet,97.06853038,2017,19063
Fayette,52.68199234,2017,19065
Floyd,12.26768079,2017,19067
Franklin,9.36329588,2017,19069
Fremont,282.2201317,2017,19071
Grundy,80.30193528,2017,19075
Guthrie,54.77451159,2017,19077
Hamilton,31.90199707,2017,19079
Harrison,113.8799571,2017,19085
Henry,79.42417473,2017,19087
Howard,10.45369015,2017,19089
Humboldt,30.56546103,2017,19091
Ida,126.9572577,2017,19093
Iowa,103.9437481,2017,19095
Jackson,15.11487304,2017,19097
Jasper,86.85739102,2017,19099
Jefferson,0,2017,19101
Johnson,53.48329029,2017,19103
Keokuk,57.08305585,2017,19107
Kossuth,90.07270154,2017,19109
Lee,75.28860632,2017,19111
Linn,15.6230767,2017,19113
Louisa,263.4583297,2017,19115
Lucas,146.1002472,2017,19117
Lyon,94.98316208,2017,19119
Madison,6.377957778,2017,19121
Mahaska,67.021134,2017,19123
Marion,126.0920472,2017,19125
Marshall,63.96378666,2017,19127
Mills,139.4514908,2017,19129
Monona,119.0089798,2017,19133
Monroe,87.8293601,2017,19135
Muscatine,67.8441923,2017,19139
O'Brien,173.6352271,2017,19141
Osceola,77.37542556,2017,19143
Page,43.93673111,2017,19145
Palo Alto,191.0625199,2017,19147
Plymouth,56.03137757,2017,19149
Polk,26.24001486,2017,19153
Pottawattamie,68.70048734,2017,19155
Sac,77.29468599,2017,19161
Scott,30.26194742,2017,19163
Shelby,49.31371743,2017,19165
Sioux,5.934013767,2017,19167
Story,15.63512095,2017,19169
Tama,202.6228401,2017,19171
Taylor,47.49089758,2017,19173
Union,47.86979416,2017,19175
Van Buren,52.84015852,2017,19177
Wapello,61.75438596,2017,19179
Warren,112.4932396,2017,19181
Washington,142.8308146,2017,19183
Wayne,203.0298298,2017,19185
Webster,121.011233,2017,19187
Winneshiek,37.99392097,2017,19191
Woodbury,26.4260267,2017,19193
Worth,131.6135825,2017,19195
Wright,15.1183007,2017,19197
